timestamp,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVENC,NVJPG,NVJPG1,OFA,PVA0_CPU_AXI,PVA0_VPS,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp iwlwifi,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDDQ_VDD2_1V8AO,Power VDD_CPU_CV,Power VDD_GPU_SOC,Power VIN_SYS_5V0,Power TOT,jetson_clocks,nvp model
1762961579.83645,2025-11-12 15:32:59.836267,0:21:46.250000,65,63,71,76,63,72,62,65,0.3151422792935929,0.0,0,73.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.312,-256,-256,-256,57.125,41.0,57.687,58.718,57.781,63.312,1697,6133,6133,5600,19563,ON,MAXN
1762961580.837426,2025-11-12 15:33:00.837224,0:21:47.250000,66,89,59,68,72,67,63,69,0.31519775922169296,0.0,0,59.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.968,-256,-256,-256,57.5,41.0,57.812,58.718,57.843,63.906,1697,6571,6128,5600,19996,ON,MAXN
1762961581.838957,2025-11-12 15:33:01.838769,0:21:48.260000,69,99,48,57,64,62,72,60,0.31530846458281003,0.0,0,71.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.843,-256,-256,-256,57.343,39.0,57.781,58.843,57.812,63.843,1697,6352,6133,5699,19881,ON,MAXN
1762961582.8404555,2025-11-12 15:33:02.840264,0:21:49.260000,67,75,75,68,69,78,65,65,0.31571794717140167,0.0,0,63.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.0,-256,-256,-256,57.593,40.0,57.75,58.781,57.781,64.0,1697,6571,5914,5699,19881,ON,MAXN
1762961583.8414123,2025-11-12 15:33:03.841221,0:21:50.260000,64,75,50,67,53,74,56,61,0.31446748558094484,0.0,0,60.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.031,-256,-256,-256,57.593,39.0,57.781,58.843,57.781,63.812,1697,6133,6133,5600,19563,ON,MAXN
1762961584.8454492,2025-11-12 15:33:04.845256,0:21:51.260000,68,65,84,63,69,68,67,61,0.3155282210870045,0.0,0,66.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.687,-256,-256,-256,57.531,39.0,57.812,58.843,57.843,63.531,1697,6352,6133,5699,19881,ON,MAXN
1762961585.8469439,2025-11-12 15:33:05.846730,0:21:52.260000,53,67,70,74,63,74,56,68,0.3157660467420939,0.0,0,41.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.937,-256,-256,-256,57.5,40.0,57.812,59.0,57.781,64.093,1697,6352,6133,5699,19881,ON,MAXN
1762961586.84847,2025-11-12 15:33:06.848281,0:21:53.260000,61,74,66,62,64,70,65,79,0.31546357933591546,0.0,0,56.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.031,-256,-256,-256,57.5,39.0,57.812,59.125,57.781,64.031,1697,6352,6133,5600,19782,ON,MAXN
1762961587.849966,2025-11-12 15:33:07.849763,0:21:54.260000,68,64,61,65,69,69,72,56,0.31507292938346787,0.0,0,17.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.0,-256,-256,-256,57.812,38.0,57.875,59.125,57.906,64.0,1697,6352,6133,5699,19881,ON,MAXN
1762961588.853423,2025-11-12 15:33:08.853233,0:21:55.260000,57,77,67,57,65,68,73,63,0.31560940501849033,0.0,0,75.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.937,-256,-256,-256,57.593,39.0,57.843,59.187,58.0,63.937,1697,6352,6133,5600,19782,ON,MAXN
1762961589.8549151,2025-11-12 15:33:09.854732,0:21:56.260000,72,66,63,70,74,74,69,70,0.315083618176955,0.0,0,61.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.812,-256,-256,-256,57.687,38.0,57.906,59.156,58.031,63.875,1697,6571,6133,5699,20100,ON,MAXN
1762961590.856409,2025-11-12 15:33:10.856219,0:21:57.260000,65,56,65,64,57,56,66,93,0.3153878670487147,0.0,0,57.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.187,-256,-256,-256,57.5,38.0,58.031,59.156,58.0,64.187,1697,6352,6128,5699,19876,ON,MAXN
1762961591.8574703,2025-11-12 15:33:11.857230,0:21:58.260000,64,65,65,87,77,69,70,71,0.3150109598307506,0.0,0,46.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.156,-256,-256,-256,57.656,41.0,58.031,59.093,58.031,64.093,1697,6790,6128,5699,20314,ON,MAXN
1762961592.859366,2025-11-12 15:33:12.859165,0:21:59.260000,73,73,75,64,61,70,66,61,0.3157409789764157,0.0,0,47.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.062,-256,-256,-256,57.937,38.0,58.0,59.218,58.062,64.062,1697,6571,6133,5600,20001,ON,MAXN
1762961593.8608515,2025-11-12 15:33:13.860686,0:22:00.260000,59,64,69,88,66,60,66,67,0.3148936375974748,0.0,0,78.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.781,-256,-256,-256,58.062,38.0,58.0,59.218,57.875,63.781,1697,6352,6133,5600,19782,ON,MAXN
1762961594.8614118,2025-11-12 15:33:14.861228,0:22:01.260000,55,87,59,59,62,64,57,58,0.3156118227217791,0.0,0,54.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.218,-256,-256,-256,57.968,41.0,58.0,59.281,58.25,64.218,1697,6133,6133,5699,19662,ON,MAXN
1762961595.8629556,2025-11-12 15:33:15.862776,0:22:02.270000,67,66,67,91,67,63,62,64,0.3152373332071038,0.0,0,60.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.968,-256,-256,-256,57.593,38.0,58.156,59.187,58.218,63.781,1697,6133,6133,5600,19563,ON,MAXN
1762961596.8644407,2025-11-12 15:33:16.864269,0:22:03.270000,88,57,58,60,59,55,58,63,0.31548190298189344,0.0,0,56.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.406,-256,-256,-256,57.75,41.0,58.062,59.25,58.25,64.406,1697,6133,6133,5600,19563,ON,MAXN
1762961597.8670287,2025-11-12 15:33:17.866852,0:22:04.270000,69,82,74,61,65,68,66,70,0.31554730821823157,0.0,0,38.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.125,-256,-256,-256,57.937,42.0,58.125,59.218,58.093,64.0,1697,6352,6133,5699,19881,ON,MAXN
1762961598.8685532,2025-11-12 15:33:18.868332,0:22:05.270000,66,75,69,77,72,70,67,83,0.31563460003171007,0.0,0,41.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.218,-256,-256,-256,57.812,38.0,58.218,59.25,58.25,64.25,1697,6790,6128,5699,20314,ON,MAXN
1762961599.8694215,2025-11-12 15:33:19.869228,0:22:06.270000,53,65,59,64,64,85,58,62,0.31498385610440816,0.0,0,61.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.75,-256,-256,-256,58.0,41.0,58.093,59.375,58.25,63.75,1697,6133,6133,5699,19662,ON,MAXN
1762961600.8709445,2025-11-12 15:33:20.870740,0:22:07.270000,61,64,67,63,65,68,73,95,0.31486398892030204,0.0,0,53.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.906,-256,-256,-256,58.125,41.0,58.406,59.343,58.218,63.906,1697,6352,6133,5699,19881,ON,MAXN
